"Name","TID","NotBeenInClan","MinNpcWins","MaxNpcWins","MinArena","MaxArena","MinTophies","MaxTrophies","MinExpLevel","MaxExpLevel","iOSTID","AndroidTID"
"matchmaking","TID_HINT_MATCHMAKING",,,,2,4,,,,,,
"bomb tower","TID_HINT_BOMB_TOWER",,,,2,3,,,,,,
"tank1","TID_HINT_TANK1",,,,2,3,,,,,,
"tank2","TID_HINT_TANK2",,,,2,3,,,,,,
"prince","TID_HINT_PRINCE",,,,2,3,,,,,,
"tesla","TID_HINT_BATTLE_TESLA",,,,4,5,,,,,,
"deploy area","TID_HINT_DEPLOY_AREA",,,,2,3,,,,,,
"taunts","TID_HINT_TAUNTS",,,,2,3,,,,,,
"three crowns","TID_HINT_THREE_CROWNS",,,,3,5,,,,,,
"balloon","TID_HINT_BALLOON",,,,2,4,,,,,,
"double elixir","TID_HINT_DOUBLE_ELIXIR",,,,2,3,,,,,,
"huts","TID_HINT_HUTS",,,,2,3,,,,,,
"tombstone","TID_HINT_TOMBSTONE",,,,2,3,,,,,,
"rage","TID_HINT_RAGE",,,,3,5,,,,,,
"direct damage","TID_HINT_DIRECT_DAMAGE",,,,3,4,,,,,,
"elixir basics4","TID_HINT_MAX_ELIXIR",,,,2,3,,,,,,
"starting hand","TID_HINT_STARTING_HAND",,,,2,3,,,,,,
"crown chest","TID_HINT_CROWN_CHEST",,,,2,4,,,,,,
"pro1","TID_HINT_BATTLE_PRO1",,,,3,,,,,,,
"pro2","TID_HINT_BATTLE_PRO2",,,,3,,,,,,,
"pro3","TID_HINT_BATTLE_PRO3",,,,5,,,,,,,
"pro4","TID_HINT_BATTLE_PRO4",,,,3,5,,,,,,
"pro5","TID_HINT_BATTLE_PRO5",,,,3,,,,,,,
"targeting","TID_HINT_TARGETING",,,,3,5,,,,,,
"inferno","TID_HINT_INFERNO",,,,4,5,,,,,,
"giant skeleton","TID_HINT_GIANT_SKELETON",,,,2,4,,,,,,
"epic sunday","TID_HINT_EPIC_SUNDAY",,,,2,5,,,,,,
"gems from chests","TID_HINT_GEMS_FROM_CHESTS",,,,2,5,,,,,,
"hog rider","TID_HINT_HOG_RIDER",,,,4,,,,,,,
"golem1","TID_HINT_GOLEM1",,,,6,,,,,,,
"golem2","TID_HINT_GOLEM2",,,,6,,,,,,,
"pekkas","TID_HINT_PEKKAS",,,,2,6,,,,,,
"trophy count","TID_HINT_TROPHY_COUNT",,,,3,5,,,,,,
"lightning","TID_HINT_LIGHTNING",,,,2,4,,,,,,
"bomber","TID_HINT_BOMBER",,,,1,2,,,,,,
