"Name","BaseChest","Arena","InShop","InArenaInfo","TournamentChest","SurvivalChest","ShopPriceWithoutSpeedUp","TimeTakenDays","TimeTakenHours","TimeTakenMinutes","TimeTakenSeconds","RandomSpells","DifferentSpells","ChestCountInChestCycle","RareChance","EpicChance","LegendaryChance","GuaranteedSpells","MinGoldPerCard","MaxGoldPerCard","FileName","ExportName","ShopExportName","GainedExportName","AnimExportName","OpenInstanceName","SlotLandEffect","OpenEffect","TapSound","TapSoundShop","DescriptionTID","TID","NotificationTID","SpellSet","Exp","SortValue","SpecialOffer"
"Tournament3rd_Arena7","Tournament3rd","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena7","TournamentOther","Arena7",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena8","Tournament1st","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena8","Tournament2nd","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena8","Tournament3rd","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena8","TournamentOther","Arena8",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena_L","Tournament1st","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena_L","Tournament2nd","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena_L","Tournament3rd","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena_L","TournamentOther","Arena_L",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legendary",,"Arena_L",,"FALSE",,,500,,24,,,1,1,1,0,0,1,,0,0,"sc/ui_chest.sc","chest_legendary_closed","chest_legendary_open","get_legendary_chest","chest_open_legendary","chest_legendary","chest_landing_legendary","openChest_mega","tap_mega_chest","sound_openChest_bigmagical",,"TID_CHEST_LEGENDARY","TID_CHEST_LEGENDARY_NOTIFICATION",,,,"TRUE"
"Epic",,"Arena_L",,"FALSE",,,500,,12,,,20,5,,0,1,0,,0,0,"sc/ui_chest.sc","chest_epic_closed","chest_epic_open","get_epic_chest","chest_open_epic","chest_epic","chest_landing_mega","openChest_mega","tap_mega_chest","sound_openChest_bigmagical",,"TID_CHEST_EPIC","TID_CHEST_EPIC_NOTIFICATION",,,,"TRUE"
"Epic_Arena1","Epic","Arena1",,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena2","Epic","Arena2",,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena3","Epic","Arena3",,,,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena4","Epic","Arena4",,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena5","Epic","Arena5",,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena6","Epic","Arena6",,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena7","Epic","Arena7",,,,,,,,,,17,5,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena8","Epic","Arena8",,,,,,,,,,19,5,,,,,,,,,,,,,,,,,,,,,,,,
"Epic_Arena_L","Epic","Arena_L",,,,,,,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze",,"TrainingCamp",,,,"TRUE",,,,,,,,,10,100,2000,,15,15,"sc/ui_chest.sc","chest_tournament_2_a_closed",,"get_wood_chest","chest_open_tournament_2_a","chest_tournament_2_a","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,
"Survival_Gold",,"TrainingCamp",,,,"TRUE",,,,,,,,,10,100,2000,,15,15,"sc/ui_chest.sc","chest_tournament_1_a_closed",,"get_wood_chest","chest_open_tournament_1_a","chest_tournament_1_a","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,
"Survival_Bronze_Arena1","Survival_Bronze","Arena1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena1","Survival_Gold","Arena1",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena2","Survival_Bronze","Arena2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena2","Survival_Gold","Arena2",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena3","Survival_Bronze","Arena3",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena3","Survival_Gold","Arena3",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena4","Survival_Bronze","Arena4",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena4","Survival_Gold","Arena4",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena5","Survival_Bronze","Arena5",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena5","Survival_Gold","Arena5",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena6","Survival_Bronze","Arena6",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena6","Survival_Gold","Arena6",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena7","Survival_Bronze","Arena7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena7","Survival_Gold","Arena7",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena8","Survival_Bronze","Arena8",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena8","Survival_Gold","Arena8",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Bronze_Arena_L","Survival_Bronze","Arena_L",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Survival_Gold_Arena_L","Survival_Gold","Arena_L",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,7,7,"sc/ui_chest.sc","chest_tournament_1_c_closed",,"get_magic_chest","chest_open_tournament_1_c","chest_tournament_1_c","chest_landing_magic","openChest_magical","tap_magic_chest","sound_openChest_magical",,,,,,,
"Tournament2nd_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,7,7,"sc/ui_chest.sc","chest_tournament_2_c_closed",,"get_gold_chest","chest_open_tournament_2_c","chest_tournament_2_c","chest_landing_gold","openChest_gold","tap_gold_chest","sound_openChest_gold",,,,,,,
"Tournament3rd_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,7,7,"sc/ui_chest.sc","chest_tournament_3_c_closed",,"get_metal_chest","chest_open_tournament_3_c","chest_tournament_3_c","chest_landing_iron","openChest_iron","tap_iron_chest","sound_openChest_iron",,,,,,,
"TournamentOther_2",,"TrainingCamp",,,"TRUE",,0,,,,,,,,10,200,4000,,7,7,"sc/ui_chest.sc","chest_tournament_other_closed",,"get_wood_chest","chest_open_tournament_other","chest_tournament_other","chest_landing_wood","openChest_wood","tap_wooden_chest","sound_openChest_wood",,,,,,,
"Tournament1st_Arena1_2","Tournament1st_2","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena1_2","Tournament2nd_2","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena1_2","Tournament3rd_2","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena1_2","TournamentOther_2","Arena1",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena2_2","Tournament1st_2","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena2_2","Tournament2nd_2","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena2_2","Tournament3rd_2","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena2_2","TournamentOther_2","Arena2",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena3_2","Tournament1st_2","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena3_2","Tournament2nd_2","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena3_2","Tournament3rd_2","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena3_2","TournamentOther_2","Arena3",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena4_2","Tournament1st_2","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena4_2","Tournament2nd_2","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena4_2","Tournament3rd_2","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena4_2","TournamentOther_2","Arena4",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena5_2","Tournament1st_2","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena5_2","Tournament2nd_2","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena5_2","Tournament3rd_2","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena5_2","TournamentOther_2","Arena5",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament1st_Arena6_2","Tournament1st_2","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament2nd_Arena6_2","Tournament2nd_2","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tournament3rd_Arena6_2","Tournament3rd_2","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TournamentOther_Arena6_2","TournamentOther_2","Arena6",,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
