Name,Enabled,Description,SortOrder,HasEvenSpaceCharacters,UsedSystemFont,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftLanguageTag,TermsAndServiceUrl,TournamentTermsUrl,ParentsGuideUrl,PrivacyPolicyUrl,TestLanguage,TestExcludes,RegionListFile,MaintenanceRoyalBox,RoyalBoxURL,RoyalBoxStageURL,RoyalBoxDevURL,RoyalBoxQAURL,EventsBaseURL,EventsPostURL,EventsBaseStageURL,EventsPostStageURL,HelpshiftURL
CN,TRUE,,2,TRUE,STHeitiSC-Medium,zh-Hans,zh_CN,ZH-HANS,http://supercell.com/en/terms-of-service/cn,http://supercell.com/en/community-tournament-guidelines/cn,http://www.supercell.com/en/parents/cn,http://www.supercell.com/en/privacy-policy/cn,,,csv_client/sorted_regions/CN_regions.csv,TRUE,https://cr-inbox.kunlun-cdn.com/,https://test-cr-inbox.kunlun-cdn.com/,https://testclashroyale.scinbox.qq.com/,https://clashroyale.scinbox.qq.com/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=zh
JP,TRUE,,4,TRUE,HiraKakuProN-W6,ja,,JP,http://supercell.com/en/terms-of-service/jp,http://supercell.com/en/community-tournament-guidelines/jp,http://www.supercell.com/en/parents/jp,http://www.supercell.com/en/privacy-policy/jp,,,csv_client/sorted_regions/JP_regions.csv,TRUE,https://inbox.clashroyale.com/ja/,https://inbox-staging.clashroyale.com/ja/,https://ducn7cprpa5c7.cloudfront.net/ja/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=jp
KR,TRUE,,3,TRUE,,ko,,KR,http://supercell.com/en/terms-of-service/ko,http://supercell.com/en/community-tournament-guidelines/ko,http://www.supercell.com/en/parents/ko,http://www.supercell.com/en/privacy-policy/ko,,,csv_client/sorted_regions/KR_regions.csv,TRUE,https://inbox.clashroyale.com/ko/,https://inbox-staging.clashroyale.com/ko/,https://ducn7cprpa5c7.cloudfront.net/ko/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=ko
RU,TRUE,,14,,,ru,,RU,http://supercell.com/en/terms-of-service/ru,http://supercell.com/en/community-tournament-guidelines/ru,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/ru,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/ru/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=ru
TEXT,FALSE,Longest text,100,,,zh-hans,zh_CN,EN,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,AR,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=en
,,,,,,,,,,,,,,FA,,,,,,,,,,,
WORD,FALSE,Longest word,101,,,cn,zh_TW,EN,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,AR,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=en
,,,,,,,,,,,,,,FA,,,,,,,,,,,
DOUBLE,FALSE,Double String,102,,,zh-Hans,zh_CN,EN,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=en
EMPTY,FALSE,Empty texts,103,,,ko,ko,EN,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=en
CNT,TRUE,,15,TRUE,STHeitiSC-Medium,zh-Hant,zh_TW,ZH-HANT,http://supercell.com/en/terms-of-service/cn,http://supercell.com/en/community-tournament-guidelines/cn,http://www.supercell.com/en/parents/cn,http://www.supercell.com/en/privacy-policy/cn,,,csv_client/sorted_regions/CNT_regions.csv,TRUE,https://inbox.clashroyale.com/zh/,https://inbox-staging.clashroyale.com/zh/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=zh-hant
AR,TRUE,,16,,,ar,,AR,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/ar/,https://ducn7cprpa5c7.cloudfront.net/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=ar
FA,TRUE,,17,,,,,fa,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/fa/,https://ducn7cprpa5c7.cloudfront.net/fa/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=fa
MS,TRUE,,18,,,ms,,ms,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/ms,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/ms/,https://ducn7cprpa5c7.cloudfront.net/ms/,https://ducn7cprpa5c7.cloudfront.net/vi/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=ms
ID,TRUE,,19,,,id,,id,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/id,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/id/,https://ducn7cprpa5c7.cloudfront.net/id/,https://inbox-staging.clashroyale.com/vi/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=id
TH,TRUE,,20,TRUE,STHeitiSC-Medium,th,,th,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/th/,https://ducn7cprpa5c7.cloudfront.net/th/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=th
FI,TRUE,,13,,,fi,,FI,http://supercell.com/en/terms-of-service/fi/,http://supercell.com/en/community-tournament-guidelines/fi/,http://supercell.com/en/parents/fi/,http://supercell.com/en/privacy-policy/fi/,,,,TRUE,https://inbox.clashroyale.com/,https://inbox-staging.clashroyale.com/fi/,https://ducn7cprpa5c7.cloudfront.net/fi/,https://inbox-staging.clashroyale.com/qa/,https://www.clashnights.com/,https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/,http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/,https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/,https://supercell.helpshift.com/a/clash-royale/?l=fi
