"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","Music","MusicStartTime","Sound","SoundStartTime","SoundPlayOvertime","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","NoStartScreen","NoEndScreen","HideTopUI","HideManaBar","EndScreenDelay","FileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount","TileDataFileName","WalkEffect","WalkEffectOvertime","LoopingEffectRegularTime","LoopingEffectOvertime","LoopingEffect"
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_barbarian",,"true",,,100,50,100,100,"BattleMusic",180,"Barbarian_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/barbarian_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_bone",,"true",50,10,,55,100,144,"BattleMusic",180,"Bone_pit_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/bone_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_dark",,"true",50,10,,55,100,100,"BattleMusic",180,"Dark_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/dark_arena.csv","ScrollAmb01",,,"true",,,,,,,,,,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_royal",,"true",,,100,50,100,100,"BattleMusic",180,"match start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/royal_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_spell",,"true",,,100,50,100,100,"BattleMusic",180,"Spell_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/spell_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_legendary",,"true",,,100,50,100,100,"BattleMusic",180,"Legendary_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/legendary_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",114,177,397,112,5,10,,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_builder",,"true",,,100,50,100,100,"BattleMusic",180,"Builder_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/builder_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,4,9,5,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_ice",,"true",122,132,224,60,100,200,"BattleMusic",180,"Ice_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/ice_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,"locations/tilemap.csv",,,,,"ice_arena_snow"
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_jungle",,"true",122,132,224,60,100,200,"BattleMusic",180,"Ice_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/jungle_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,"locations/tilemap.csv",,"jungle_arena_walk_splash",,"jungle_arena_rain",
,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_10",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_9",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_8",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_7",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_6",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_5",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_4",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_3",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_2",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Countdown_1",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
