"Name","IconSWF","IconExportName","GameMode","WinsIconExportName","Enabled","EventOnly","JoinCost","JoinCostResource","FreePass","MaxWins","MaxLoss","RewardCards","RewardGold","RewardSpellCount","RewardSpell","ItemExportName","ConfirmExportName","TID"
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"ThreeBridges","sc/ui.sc","icon_tournament_blind_deck","ThreeBridges","tournament_open_wins_badge_blind","TRUE","TRUE",5,"Diamonds",1,12,3,2,130,,,"tournament_item_kings_cup","popup_tournament_open_confirm",
,,,,,,,,,,,,3,180,,,,,
,,,,,,,,,,,,5,240,,,,,
,,,,,,,,,,,,8,310,,,,,
,,,,,,,,,,,,12,390,,,,,
,,,,,,,,,,,,17,480,,,,,
,,,,,,,,,,,,23,590,,,,,
,,,,,,,,,,,,30,720,,,,,
,,,,,,,,,,,,38,880,,,,,
,,,,,,,,,,,,48,1080,,,,,
,,,,,,,,,,,,61,1330,,,,,
,,,,,,,,,,,,78,1630,,,,,
,,,,,,,,,,,,100,2000,,,,,
"HeroChallenge","sc/ui.sc","icon_tournament_blind_deck","HeroChallenge","tournament_open_wins_badge_blind","TRUE","TRUE",100,"Diamonds",,12,3,20,1400,,,"tournament_item_kings_cup","popup_tournament_open_confirm",
,,,,,,,,,,,,30,1900,,,,,
,,,,,,,,,,,,50,2500,,,,,
,,,,,,,,,,,,85,3200,,,,,
,,,,,,,,,,,,130,4000,,,,,
,,,,,,,,,,,,185,5000,,,,,
,,,,,,,,,,,,250,6200,,,,,
,,,,,,,,,,,,330,7600,,,,,
,,,,,,,,,,,,420,9300,,,,,
,,,,,,,,,,,,530,11500,,,,,
,,,,,,,,,,,,670,14200,,,,,
,,,,,,,,,,,,860,17500,,,,,
,,,,,,,,,,,,1100,22000,,,,,
"ElectroWiz","sc/ui.sc","icon_tournament_card_release","ElectroWiz","tournament_open_wins_badge_legendary","TRUE","TRUE",100,"Diamonds",1,12,3,20,1400,0,"ElectroWizard","tournament_item_open_card_release","popup_tournament_legendary_challenge_confirm",
,,,,,,,,,,,,30,1900,0,"ElectroWizard",,,
,,,,,,,,,,,,50,2500,0,"ElectroWizard",,,
,,,,,,,,,,,,85,3200,0,"ElectroWizard",,,
,,,,,,,,,,,,130,4000,0,"ElectroWizard",,,
,,,,,,,,,,,,185,5000,0,"ElectroWizard",,,
,,,,,,,,,,,,250,6200,0,"ElectroWizard",,,
,,,,,,,,,,,,330,7600,0,"ElectroWizard",,,
,,,,,,,,,,,,420,9300,0,"ElectroWizard",,,
,,,,,,,,,,,,530,11500,0,"ElectroWizard",,,
,,,,,,,,,,,,670,14200,0,"ElectroWizard",,,
,,,,,,,,,,,,860,17500,0,"ElectroWizard",,,
,,,,,,,,,,,,1100,22000,1,"ElectroWizard",,,
