Name,IconSWF,IconExportName
clan_badge_10_02,sc/ui.sc,clan_badge_10_02
clan_badge_10_03,sc/ui.sc,clan_badge_10_03
clan_badge_10_04,sc/ui.sc,clan_badge_10_04
clan_badge_10_05,sc/ui.sc,clan_badge_10_05
clan_badge_10_06,sc/ui.sc,clan_badge_10_06
clan_badge_11_01,sc/ui.sc,clan_badge_11_01
clan_badge_11_02,sc/ui.sc,clan_badge_11_02
clan_badge_11_03,sc/ui.sc,clan_badge_11_03
clan_badge_12_01,sc/ui.sc,clan_badge_12_01
clan_badge_12_02,sc/ui.sc,clan_badge_12_02
clan_badge_12_03,sc/ui.sc,clan_badge_12_03
clan_badge_13_01,sc/ui.sc,clan_badge_13_01
clan_badge_13_02,sc/ui.sc,clan_badge_13_02
clan_badge_13_03,sc/ui.sc,clan_badge_13_03
clan_badge_14_01,sc/ui.sc,clan_badge_14_01
clan_badge_14_02,sc/ui.sc,clan_badge_14_02
clan_badge_14_03,sc/ui.sc,clan_badge_14_03
clan_badge_15_01,sc/ui.sc,clan_badge_15_01
clan_badge_15_02,sc/ui.sc,clan_badge_15_02
clan_badge_15_03,sc/ui.sc,clan_badge_15_03
clan_badge_15_04,sc/ui.sc,clan_badge_15_04
clan_badge_15_05,sc/ui.sc,clan_badge_15_05
clan_badge_15_06,sc/ui.sc,clan_badge_15_06
clan_badge_16_01,sc/ui.sc,clan_badge_16_01
clan_badge_16_02,sc/ui.sc,clan_badge_16_02
clan_badge_16_03,sc/ui.sc,clan_badge_16_03
clan_badge_16_04,sc/ui.sc,clan_badge_16_04
clan_badge_16_05,sc/ui.sc,clan_badge_16_05
clan_badge_16_06,sc/ui.sc,clan_badge_16_06
clan_badge_17_01,sc/ui.sc,clan_badge_17_01
clan_badge_17_02,sc/ui.sc,clan_badge_17_02
clan_badge_18_01,sc/ui.sc,clan_badge_18_01
clan_badge_18_02,sc/ui.sc,clan_badge_18_02
clan_badge_19_01,sc/ui.sc,clan_badge_19_01
clan_badge_19_02,sc/ui.sc,clan_badge_19_02
clan_badge_20_01,sc/ui.sc,clan_badge_20_01
clan_badge_20_02,sc/ui.sc,clan_badge_20_02
clan_badge_20_03,sc/ui.sc,clan_badge_20_03
clan_badge_21_01,sc/ui.sc,clan_badge_21_01
clan_badge_21_02,sc/ui.sc,clan_badge_21_02
clan_badge_21_03,sc/ui.sc,clan_badge_21_03
clan_badge_22_01,sc/ui.sc,clan_badge_22_01
clan_badge_22_02,sc/ui.sc,clan_badge_22_02
clan_badge_22_03,sc/ui.sc,clan_badge_22_03
clan_badge_22_04,sc/ui.sc,clan_badge_22_04
clan_badge_22_05,sc/ui.sc,clan_badge_22_05
clan_badge_22_06,sc/ui.sc,clan_badge_22_06
clan_badge_23_01,sc/ui.sc,clan_badge_23_01
clan_badge_23_02,sc/ui.sc,clan_badge_23_02
clan_badge_23_03,sc/ui.sc,clan_badge_23_03
clan_badge_24_01,sc/ui.sc,clan_badge_24_01
clan_badge_24_02,sc/ui.sc,clan_badge_24_02
clan_badge_24_03,sc/ui.sc,clan_badge_24_03
clan_badge_25_01,sc/ui.sc,clan_badge_25_01
clan_badge_25_02,sc/ui.sc,clan_badge_25_02
clan_badge_25_03,sc/ui.sc,clan_badge_25_03
clan_badge_25_04,sc/ui.sc,clan_badge_25_04
clan_badge_25_05,sc/ui.sc,clan_badge_25_05
clan_badge_25_06,sc/ui.sc,clan_badge_25_06
