"Name","Title","Info","ItemFile","ItemExportName","Count","TimerHours","RewardType","Weight","MinArena","MaxArena"
"Quest_FreeGifts9","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"FreeChest",1300,,
,,,,,,4,"Gold",,,
,,,,,,4,"FreeChest",,,
"Quest_FreeGifts10","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"FreeChest",1300,,
,,,,,,4,"FreeChest",,,
,,,,,,4,"Gold",,,
"Quest_FreeGifts11","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"FreeChest",200,,
,,,,,,4,"Rare",,,
,,,,,,4,"Gold",,,
"Quest_FreeGifts12","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Gold",200,,
,,,,,,4,"FreeChest",,,
,,,,,,4,"Rare",,,
"Quest_FreeGifts13","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Gold",200,,
,,,,,,4,"Rare",,,
,,,,,,4,"FreeChest",,,
"Quest_FreeGifts14","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"FreeChest",100,"Arena3",
,,,,,,4,"Epic",,,
,,,,,,4,"Rare",,,
"Quest_FreeGifts15","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Rare",100,"Arena3",
,,,,,,4,"FreeChest",,,
,,,,,,4,"Epic",,,
"Quest_FreeGifts16","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Epic",100,"Arena3",
,,,,,,4,"Rare",,,
,,,,,,4,"FreeChest",,,
"Quest_FreeGifts17","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"FreeChest",100,"Arena3",
,,,,,,4,"Gold",,,
,,,,,,4,"Epic",,,
"Quest_FreeGifts18","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Epic",100,"Arena3",
,,,,,,4,"FreeChest",,,
,,,,,,4,"Gold",,,
"Quest_FreeGifts19","TID_DAILY_GIFTS","TID_FREE_CHEST_QUEST","sc/ui.sc","quest_item_free_chest",3,0,"Epic",100,"Arena3",
,,,,,,4,"Gold",,,
,,,,,,4,"FreeChest",,,
