"FileName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11000,-4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_arena_edge_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_arena_edge_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_entry_pole_back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11593,-912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11901,35208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_arena_edge_front",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,930,-416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3900,-330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17327,-412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14329,-411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_entry_pole_front",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6497,-995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6322,35125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_tree2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4500,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21500,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26000,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5500,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12500,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18500,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,-5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-3500,-6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6000,-9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16000,-5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,-6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12500,-6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25500,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25500,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5000,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-6500,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-9500,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_tree3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-500,-5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-500,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7500,43500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-11500,-7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22500,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29000,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-11500,26500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-6500,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5500,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16500,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19500,-6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11500,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_tree4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15500,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,35500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23500,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14000,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7000,-6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-10000,20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7500,31500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14500,-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3500,-4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2500,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5500,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27500,-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25000,43500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_blue_deco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17500,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4000,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-500,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_red_deco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17500,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5000,-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_tree1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14500,36500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24000,34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24000,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-3000,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20500,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24500,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5000,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-6000,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2500,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28500,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21000,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-6500,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8000,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,41500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24000,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14000,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8500,22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3500,43500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_roofshade_left_red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"goblin_woodwall1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16
,0,,,,,,,,,,,,,,1,1,1,1,18,18,2,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,,,,,1,1,1,1,2,2,2,2,,,,,2,2,2,2,2,,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,48,48,48,48,48,1,1,1,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,2,2,2,48,48,48,48,48
,48,48,48,48,48,,1,1,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,2,2,,48,48,48,48,48
,48,48,48,48,48,,1,1,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,2,2,,48,48,48,48,48
,48,48,48,48,48,1,1,1,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,2,2,2,48,48,48,48,48
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,16,16,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,16,16
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,1,1,1,1,1,1,,,,,,,,,2,,,,,,,,2,2,2,2,2,2,,,,
,0,,,,,1,1,1,1,1,,,,,1,1,1,1,2,2,2,2,,,,,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,1,1,1,1,1,1,1,1,1,1,17,17,17,18,18,18,2,2,2,2,2,2,2,2,2,2,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,17,17,17,18,18,18,2,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,
,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16
,16,16,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16
"Background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
