"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs"
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Protection","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"MindControl","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Invisibility","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"CharacterDeploy","sfx/dummy_01.wav",1,1,98,102,3,1,,,,,,,,,,
"Elf wizard","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Elf warrior","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Fire elemental","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Fireball explodes","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Flaming wall","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Healing","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Orc","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Arrow fire","sfx/archer_queen_attack_02.wav",45,50,98,102,1,3,,,,,,,,,,
"Fire arrow","sfx/fire_arrows_03.wav",45,50,97,103,1,3,,,,,,,,,,
"Fire ball","sfx/fire_ball_02.wav",50,60,98,102,1,3,,,,,,,,,,
"Fire ball explo","sfx/fire_ball_explo_02.wav",50,60,97,103,1,2,,,,,,,,,,
"Arrow hit ground","sfx/arrow_norm_impact_02.wav",10,15,92,108,1,3,,,,,,,,,,
"Arrow volley hit","sfx/arrow_norm_impact_06.wav",55,60,95,105,2,1,,,,,,,,,,
"Fire arrow volley hit","sfx/fire_arrows_impact_01.wav",45,55,95,105,1,2,,,,,,,,,,
"Blood boil","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Tower explode","sfx/building_destroyed_05.wav",40,40,100,100,1,3,,,,,,,,,,
"Footman deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Footman steps","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Footman attack start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Footman hit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Footman target","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Footman die","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Knight deploy","sfx/barb_deploy_11v2.wav",50,50,100,100,1,3,,,,,,,,,,
,"sfx/barb_deploy_11v3.wav",50,50,100,100,1,3,,,,,,,,,,
"Knight steps","sfx/knight_footstep_01.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_02.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_03.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_04.wav",40,40,98,102,1,3,,,,,,,,,,
"Knight attack start","sfx/knight_attack_hack_01.wav",1,1,95,105,1,3,,,,,,,,,,
"Knight hit","sfx/knight_attack_hack_01.wav",60,80,98,102,1,3,,,,,,,,,,
"Knight Charge","sfx/knight_charge_02.wav",50,50,98,102,1,3,,,,,,,,,,
"Knight target","sfx/target_01.wav",40,40,98,102,1,3,,,,,,,,,,
"Knight die","sfx/knight_death_01.wav",60,60,100,100,1,5,,,,,,,,,,
"King deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"King steps","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"King attack start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"King hit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"King target","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"King die","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon steps","sfx/dummy_01.wav",1,1,100,100,1,1,,,"true",,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cat jump","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cat spawn","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cat land","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon attack start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon hit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon target","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Demon die","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Catapult deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Catapult turn","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Catapult attack start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Catapult fire","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Catapult reload","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Spell available","sfx/card_ready_02.wav",40,40,100,100,1,1,,,,,,,,,,
"Spell not ready","sfx/spell_not_ready_01.wav",50,50,100,100,1,1,,,,,,,,,,
"Spell ready","sfx/spell_ready_01.wav",40,40,100,100,1,1,,,,,,,,,,
"Mana add","sfx/mana_pool_01.wav",20,20,95,105,1,2,,,,,,,,,,
"Boulder impact","sfx/boulder_impact_01.wav",80,90,95,105,1,2,,,,,,,,,,
"Select spell","sfx/grabcard_01.wav",50,50,98,102,1,2,,,,,,,,,,
"Archer deploy","sfx/clash_archer_deploy_01.wav",50,50,98,102,1,1,,,,,,,,,,
"Archer steps","sfx/gen_troop_step_01.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/gen_troop_step_02.wav",40,40,98,102,1,3,,,,,,,,,,
,"sfx/gen_troop_step_03.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/gen_troop_step_04.wav",40,40,98,102,1,2,,,,,,,,,,
"Archer attack","sfx/archer_attack_07.wav",22,32,97,103,1,2,,,,,,,,,,
"Archer target","sfx/target_01.wav",1,1,98,102,1,3,,,,,,,,,,
"Arrow hit","sfx/arrow_hit_13.wav",20,25,95,105,1,2,,,,,,,,,,
"Archer attack start","sfx/target_01.wav",1,1,97,103,1,3,,,,,,,,,,
"Archer die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"Root","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Smoke","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Lightning","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Wizard hurt","sfx/wiz_hurt_01.wav",50,50,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_02.wav",50,50,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_03.wav",50,50,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_04.wav",50,50,98,102,1,1,,,,,5000,6000,,,,3000
"Get gold","sfx/get_gold_01v2.wav",30,40,97,103,1,2,,,,,,,,,,
"Get diamonds","sfx/get_diamonds_01.wav",30,35,100,100,1,2,,,,,,,,,,
"get mana","sfx/get_mana_01.wav",50,50,97,103,1,2,,,,,,,,,,
"Builder deploy",,,,,,,,,,,,,,,,,
"Builder steps",,,,,,,,,,,,,,,,,
"Builder attack start",,,,,,,,,,,,,,,,,
"Builder hit",,,,,,,,,,,,,,,,,
"Builder target",,,,,,,,,,,,,,,,,
"Builder die",,1,1,98,102,1,3,,,,,,,,,,
"ArcherTower deploy",,,,,,,,,,,,,,,,,
"ArcherTower attack","sfx/archer_tower_fire_05.wav",40,50,96,103,1,3,,,,,,,,,,
"ArcherTower target",,,,,,,,,,,,,,,,,
"ArcherTower die","sfx/building_destroyed_05.wav",40,40,100,100,1,3,,,,,,,,,,
"FireSpirit deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"FireSpirit steps",,,,,,,,,,,,,,,,,
"FireSpirit attack start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"FireSpirit hit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"FireSpirit die","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Wolf deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Wolf steps",,,,,,,,,,,,,,,,,
"Wolf attack start",,,,,,,,,,,,,,,,,
"Wolf hit",,,,,,,,,,,,,,,,,
"Wolf target",,,,,,,,,,,,,,,,,
"Wolf die",,,,,,,,,,,,,,,,,
"Fireplace deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Fireplace idle",,,,,,,,,,,,,,,,,
"Fireplace attack start",,,,,,,,,,,,,,,,,
"Fireplace hit",,,,,,,,,,,,,,,,,
"Fireplace die",,,,,,,,,,,,,,,,,
"Cauldron deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cauldron steps",,,,,,,,,,,,,,,,,
"Cauldron hit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cauldrond die",,,,,,,,,,,,,,,,,
"Construction deploy 2x2","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Construction deploy 3x3","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Construction destroyed",,,,,,,,,,,,,,,,,
"Generic building ready",,,,,,,,,,,,,,,,,
"Card ready","sfx/card_ready_01.wav",30,30,100,100,1,3,,,,,,,,,,
,"sfx/card_ready_01.wav",30,30,112,112,1,3,,,,,,,,,,
,"sfx/card_ready_01.wav",30,30,126,126,1,3,,,,,,,,,,
,"sfx/card_ready_01.wav",30,30,133,133,1,3,,,,,,,,,,
,"sfx/card_ready_01.wav",30,30,150,150,1,3,,,,,,,,,,
"Scroll open","sfx/scroll_open_01v3333.wav",50,50,99,101,1,4,,,,,,,,,,
"Scroll close","sfx/scroll_close_07.wav",40,40,97,103,1,4,,,,,,,,,,
"Scroll taphold","sfx/scroll_taphold_03.wav",40,40,97,103,1,4,,,,,,,,,,
"Scroll drop","sfx/scroll_drop_02.wav",40,40,97,103,1,4,,,,,,,,,,
"Chest unlockstart","sfx/unlock_chest_start_01.wav",50,50,100,100,4,1,,,,,,,,,,
"Claim chest","sfx/dummy_01.wav",1,1,100,100,4,1,,,,,,,,,,
"Chest discard","sfx/chest_discard_01.wav",50,50,98,102,1,2,,,,,,,,,,
"No workers","sfx/tap_locked_chest_01.wav",40,40,100,100,1,2,,,,,,,,,,
"Cast hot coals","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Hot coals appear","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Hot coals loop","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Growth","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WizardDeploy","sfx/deploy_wizard_01.wav",70,70,100,100,1,3,,,,,,,,,,
"WizardSteps","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WizardAttackStart","sfx/wiz_attack_01.wav",65,65,95,105,1,3,,,,,,,,,,
"WizardHit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WizardProjectileHit","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WizardTakeDamage","sfx/wiz_hurt_05.wav",1,1,100,100,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_06.wav",1,1,100,100,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_07.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_08.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
"WizardDie","sfx/wiz_hurt_05.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_06.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_07.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
,"sfx/wiz_hurt_08.wav",40,40,98,102,1,1,,,,,5000,6000,,,,3000
"Spell sacrifice","sfx/spell_sacrifice_09.wav",75,75,100,100,1,4,,,,,,,,,,
"Spell fuse","sfx/scroll_fusion_01.wav",60,60,100,100,1,4,,,,,,,,,,
"Enemy on range","sfx/bad_drop_03.wav",60,60,100,100,1,2,,,,,,,,,,
"Unlock with diamonds","sfx/open_chest_diamonds_02.wav",50,50,100,100,1,3,,,,,,,,,,
"Scroll loading","sfx/dummy_01.wav",50,50,100,100,1,3,,,,,,,,,,
"Water of life","sfx/water_of_life_01.wav",1,1,100,100,1,2,,,,,,,,,,
"Musketeer deploy",,,,,,,,,,,,,,,,,
"Musketeer steps",,,,,,,,,,,,,,,,,
"Musketeer attack start",,,,,,,,,,,,,,,,,
"Musketeer fire projectile","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Musketeer special attack start",,,,,,,,,,,,,,,,,
"Musketeer special fire projectile",,,,,,,,,,,,,,,,,
"Musketeer die",,,,,,,,,,,,,,,,,
"Mercenary deploy",,,,,,,,,,,,,,,,,
"Mercenary steps",,,,,,,,,,,,,,,,,
"Mercenary attack start",,,,,,,,,,,,,,,,,
"Mercenary hit",,,,,,,,,,,,,,,,,
"Mercenary die","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Ent Big Deploy",,,,,,,,,,,,,,,,,
"Ent Big Steps","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
,"sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Ent Big AttackStart",,,,,,,,,,,,,,,,,
"Ent Big Attack","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Ent Big Target",,,,,,,,,,,,,,,,,
"Ent Big Die",,,,,,,,,,,,,,,,,
"TutorialCharacter1","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,1000,,,,,
"SellChest","sfx/get_gold_04.wav",50,50,99,99,1,3,,,,,,,,,,
"Fire Breath Deploy",,,,,,,,,,,,,,,,,
"Fire Breath Steps",,,,,,,,,,,,,,,,,
"Fire Breath Attack Start","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Fire Breath Attack",,50,50,99,101,1,3,,,,,,,,,,
"Fire Breath Die",,,,,,,,,,,,,,,,,
"Explosive Barrel explosion","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"ExplosiveBarrel deploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"RocketTower attack","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"RocketTower destruction","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"PanicSpell","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"Cannon Fire","sfx/cannon_fire_03.wav",35,45,96,104,1,3,,,,,,,,,,
"Cannon Deploy","sfx/cannon_deploy_01.wav",70,70,98,102,1,3,,,,,,,,,,
"Tower Attack","sfx/tower_shoot_01.wav",30,35,98,102,1,3,,,,,,,,,,
"Tower Hit","sfx/tower_hit_01.wav",25,30,98,102,1,3,,,,,,,,,,
"Spellfusion","sfx/spellfusion01.wav",85,85,100,100,1,3,,,,,,,,,,
"LevelUpWiz","sfx/wiz_level_up_02.wav",90,90,100,100,1,2,,,,,,,,,,
"BearTrapDeploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"BearTrapAttack","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WizMove","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WarHoundDeploy","sfx/dummy_01.wav",1,1,100,100,1,1,,,,,,,,,,
"WarHound steps",,,,,,,,,,,,,,,,,
"WarHound attack start",,,,,,,,,,,,,,,,,
"WarHound hit",,,,,,,,,,,,,,,,,
"WarHound target",,,,,,,,,,,,,,,,,
"WarHound die",,,,,,,,,,,,,,,,,
"sound_knight_deploy","sfx/knight_deploy_31111.wav",70,70,100,100,1,3,,,,,,,,,,
"sound_knight_deploy_end","sfx/knight_deploy_end_01.wav",60,60,100,100,1,3,,,,,1000,1000,,,,
"sound_knight_steps","sfx/knight_footstep_01.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_02.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_03.wav",40,40,98,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_04.wav",40,40,98,102,1,3,,,,,,,,,,
"sound_knight_attack_start","sfx/knight_attack_start_05.wav",45,55,97,101,1,2,,,,,360,360,,,,
,"sfx/knight_attack_start_02.wav",45,55,97,101,1,2,,,,,430,430,,,,
,"sfx/knight_attack_start_03.wav",45,55,97,101,1,2,,,,,320,320,,,,
,"sfx/knight_attack_start_04.wav",45,55,97,101,1,2,,,,,320,320,,,,
,"sfx/knight_attack_start_01.wav",45,55,97,101,1,2,,,,,300,300,,,,
"sound_knight_hit","sfx/knight_hit_01.wav",30,40,98,102,1,3,,,,,,,,,,
"sound_knight_target","sfx/target_01.wav",40,40,98,102,1,3,,,,,,,,,,
"sound_knight_die","sfx/knight_die_01.wav",60,60,100,100,1,2,,,,,,,,,,
,"sfx/knight_die_04.wav",60,60,100,100,1,2,,,,,,,,,,
,"sfx/knight_die_03.wav",60,60,100,100,1,2,,,,,,,,,,
"sound_barbarian_deploy","sfx/deploy_barbarians_01.wav",70,70,98,102,1,1,500,,,,,,,,,
"sound_barbarian_steps","sfx/knight_footstep_01.wav",40,40,99,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_02.wav",40,40,99,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_03.wav",40,40,99,102,1,2,,,,,,,,,,
,"sfx/knight_footstep_04.wav",40,40,98,102,1,3,,,,,,,,,,
"sound_barbarian_attack_start","sfx/barbarian_attack_02.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_03.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_04.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_05.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_06.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_07.wav",40,40,98,102,1,2,300,,,,300,320,,,,
,"sfx/barbarian_attack_08.wav",40,40,98,102,1,2,300,,,,300,320,,,,
"sound_barbarian_hit","sfx/knight_attack_hack_01.wav",1,1,98,102,1,3,,,,,,,,,,
"sound_barbarian_target","sfx/target_01.wav",40,40,98,102,1,3,,,,,,,,,,
"sound_barbarian_die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"sound_goblins_deploy","sfx/goblin_deploy_14.wav",50,50,98,102,1,1,,,,,,,,,,
"sound_goblins_steps","sfx/gen_troop_step_01.wav",70,70,98,102,2,4,,,,,,,,,,
,"sfx/gen_troop_step_02.wav",70,70,98,102,2,4,,,,,,,,,,
,"sfx/gen_troop_step_03.wav",70,70,98,102,2,4,,,,,,,,,,
,"sfx/gen_troop_step_04.wav",70,70,98,102,2,4,,,,,,,,,,
"sound_goblins_attack_start","sfx/gob_attack_01v2.wav",30,40,97,103,1,3,,,,,,,,,,
,"sfx/gob_attack_02v2.wav",30,40,97,103,1,3,,,,,,,,,,
,"sfx/gob_attack_03v2.wav",30,40,97,103,1,3,,,,,,,,,,
"sound_goblins_hit","sfx/footman_attack_hit_01.wav",10,20,96,104,2,3,,,,,,,,,,
,"sfx/footman_attack_hit_02.wav",10,20,96,104,2,3,,,,,,,,,,
,"sfx/footman_attack_hit_03.wav",10,20,96,104,2,3,,,,,,,,,,
,"sfx/footman_attack_hit_04.wav",10,20,96,104,2,3,,,,,,,,,,
"sound_goblins_die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"sound_giant_deploy","sfx/giant_deploy_01.wav",90,90,100,100,1,2,,,,,,,,,,
"sound_giant_steps","sfx/demon_step_01.wav",40,60,95,105,1,2,,,,,,,,,,
"sound_giant_attack_start","sfx/giant_attack_swing_01.wav",65,80,98,102,1,1,,,,,,,,,,
,"sfx/giant_attack_swing_02.wav",65,80,98,102,1,1,,,,,,,,,,
,"sfx/giant_attack_swing_03.wav",65,80,98,102,1,1,,,,,,,,,,
"sound_giant_hit","sfx/giant_hit_01.wav",60,70,95,105,1,2,,,,,,,,,,
"sound_giant_die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"sound_pekka_deploy","sfx/pekka_deploy_01.wav",80,80,100,100,1,3,,,,,,,,,,
"sound_pekka_deploy_end","sfx/pekka_deploy_end_03.wav",100,100,100,100,1,3,,,,,3000,3000,,,,
"sound_pekka_steps","sfx/pekka_footstep_02.wav",40,45,96,104,1,3,,,,,,,,,,
"sound_pekka_attack_start","sfx/pekka_atk_01.wav",60,60,97,103,1,3,,,,,,,,,,
"sound_pekka_hit","sfx/pekka_attack_hit_03.wav",50,60,98,102,1,3,,,,,,,,,,
"sound_pekka_die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"sound_minion_deploy","sfx/archer_deploy_05.wav",40,40,98,102,1,2,,,,,,,,,,
"sound_minion_steps","sfx/minion_wing_02.wav",15,30,93,107,2,2,100,,,,,,,,,
"sound_minion_attack_start","sfx/tinymite_attack_04.wav",1,1,96,104,1,3,,,,,,,,,,
"sound_minion_attack","sfx/tinymite_attack_04.wav",50,55,95,105,1,1,,,,,,,,,,
,"sfx/tinymite_attack_05.wav",50,55,95,105,1,1,,,,,,,,,,
,"sfx/tinymite_attack_06.wav",50,55,95,105,1,1,,,,,,,,,,
"sound_minion_die","sfx/npc_die_02.wav",1,1,97,103,1,5,,,,,,,,,,
"sound_minion_projectile_hit",,,,,,,,,,,,,,,,,
"Gameend Horn","sfx/big_horn_end_02_v2.wav",80,80,100,100,1,1,,,,,,,,,,
"sound_mortar_deploy","sfx/boulder_impact_01.wav",40,50,95,105,1,2,,,,,,,,,,
"sound_mortar_turn","sfx/target_01.wav",25,30,97,103,1,3,,,,,,,,,,
"sound_mortar_attack_start","sfx/mortar_fire_02.wav",1,1,98,102,1,2,,,,,,,,,,
"sound_mortar_attack","sfx/mortar_fire_03.wav",80,80,98,102,1,2,,,,,,,,,,
"sound_mortar_hit","sfx/boulder_impact_01.wav",80,90,95,105,1,2,,,,,,,,,,
"sound_mortar_die","sfx/building_destroyed_05.wav",40,40,100,100,1,3,,,,,,,,,,
"sound_balloon_deploy","sfx/deploy_balloon_06.wav",90,90,98,102,1,2,,,,,,,,,,
"sound_balloon_turn","sfx/target_01.wav",25,30,97,103,1,3,,,,,,,,,,
"sound_balloon_steps","sfx/balloon_fly_loop_01.wav",55,55,98,102,2,2,,,,,,,,,,
"sound_balloon_attack_start","sfx/drop_bomb_03.wav",70,70,100,100,1,3,,,,,,,,,,
"sound_balloon_attack",,,,,,,,,,,,,,,,,
"sound_balloon_hit","sfx/boulder_impact_01.wav",80,90,95,105,1,2,,,,,,,,,,
