"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeOutDuration","Inertia","EnemyVersion"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard8",,,,,,,
"GlassShatterEmitter3",10,1,,,,500,500,,360,,"true",,,20,140,100,60,150,-1500,,,"sc/effects.sc","GlassShard1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard8",,,,,,,
"PoisonDropsEmitter",25,300,,5,20,500,550,,360,,"true",,,80,,25,100,130,-1000,1,5,"sc/effects.sc","PoisonParticle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","PoisonParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","PoisonParticle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","PoisonParticle4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","PoisonParticle5",,,,,,,
"PoisonSteamSmall",5,,,2000,4000,1800,3000,180,270,,"true",,,1,6,20,1,2,-900,,,"sc/effects.sc","egg_steamer",,,,,,,
"SmokeBomb_smoke1",28,,,,,1100,2500,,500,,"true",5,5,,10,,,100,,,1000,"sc/effects.sc","Steam",,,,,,,
"SmokeBomb_smoke2",28,,,,,1100,2500,,500,,"true",9,9,,10,,,10,,,1000,"sc/effects.sc","Steam",,,,,,,
"SmokeBomb_smoke3",28,,,,,1100,3000,,350,,"true",14,14,,10,,,10,,,1000,"sc/effects.sc","Steam",,,,,,,
"FireSpirit_emitter",4,1,1,1,1,340,700,,180,,"true",,,,,15,,,120,,,"sc/effects.sc","Fire2_particle1",,,,,,,
"Fireplace_emitter",2,1,100,1,50,500,900,,180,,"true",,,,,53,,,100,,,"sc/effects.sc","Fire2_particle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_particle4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_particle5",,,,,,,
"HotHoals1",28,,1000,1,2,2500,5000,,360,"true","true",3,3,,30,,,1000,-3500,,,"sc/effects.sc","particle_coal1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"HotCoals_sparks",4,100,5000,,50,300,800,,360,,"true",7,7,10,80,,10,100,500,,,"sc/effects.sc","SparkleBlue",,,,,,,
"HotHoals_loop",30,,5000,1,10,4000,5000,,360,"true","true",7,7,,10,,,500,-2000,,,"sc/effects.sc","particle_coal1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"HotCoals_loop2",5,,1000,1,200,500,1200,,360,"true","true",7,7,,,,,,300,,,"sc/effects.sc","Sparkle","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"HotCoals_loop3",12,,3000,1,100,100,3000,,360,"true","true",4,4,,10,,,500,-2000,,,"sc/effects.sc","particle_coal1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"HotCoals_loop4",30,,4000,1,10,4000,5000,,360,"true","true",10,10,,10,,,500,-2000,,,"sc/effects.sc","particle_coal1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"HotCoals_darken",9,1,10000,,1,2000,5000,,360,,"true",4,4,,,,,,,,,"sc/effects.sc","darken_gradient",,,,,,,
"HotCoals_darken2",6,1,10000,,1,2000,5000,,360,,"true",9,9,,,,,,,,,"sc/effects.sc","darken_gradient",,,,,,,
"DragSparkEmitter",30,500,500,,40,300,400,90,90,"true",,2,2,100,200,35,,,,,,"sc/effects.sc","SparkleBlueOffset1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset4",,,,,,,
"Fireplace_particles_loop",2,100,100,1,20,500,900,,,,"true",,2,,,30,10,100,100,,20,"sc/effects.sc","fireplace_particle","true",,,,,,
"Fireplace_bouncy_particles_loop",1,100,100,1,20,1300,1900,1,360,,"true",3,3,10,20,37,20,200,-1000,,20,"sc/effects.sc","fireplace_particle","true",,,,,,
"Musketeer_smoke1",10,,,,,1100,2500,,360,"true",,,,5,15,,50,90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",100,1,300,,
"Musketeer_smoke_shadow",5,,,,,1100,2500,,360,"true",,,,-5,-15,,-50,-90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",80,30,2000,,
"Musketeer_glow",1,,,,,400,600,,,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow",,,,,,,
"Musketeer_fireParticles",3,,,,,500,800,-40,40,"true","true",,,100,200,,10,200,-200,,,"sc/effects.sc","fireplace_particle",,,180,10,200,,
"Musketeer_glow_top",1,,,,,1200,1400,,,,,,,,,,40,40,30,,,"sc/effects.sc","Deco_small_glow2",,,,,100,,
"Haze1",9,10000,,1000,,3000,9000,,360,,,,20,,,7,,,,,,"sc/effects.sc","Haze1",,,,,7000,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Haze2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Haze3",,,,,,,
"Fireball_explosion_smoke",34,100,100,1,1,1500,2300,,360,,"true",3,7,10,15,14,20,30,10,,,"sc/effects.sc","explosion_cloud_1","true","true",100,120,1500,20,
"Fireball_explosion_sparks",22,190,190,1,3,800,900,,360,,"true",1,3,70,80,73,500,900,-2000,,20,"sc/effects.sc","SparkleBlue","true",,100,1,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
"Fireball_explosion_glow",12,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,10,20,90,35,,,"sc/effects.sc","Death_blue_smoke","true",,23,30,3500,40,
"explosion_lava",15,200,200,,20,900,1000,,360,,"true",1,1,40,90,30,800,900,-3000,3,15,"sc/effects.sc","particle_coal9","true",,120,20,,,
"explosion_gradients",1,190,190,1,1,4000,5000,,,,"true",,,,,,,,,,,"sc/effects.sc","darken_gradient",,,135,135,,,
"explosion_base",32,100,100,1,1,1800,2200,,360,"true","true",1,8,,,,,50,-3500,,,"sc/effects.sc","particle_coal1",,"true",,,300,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
"explosion_shadow",12,100,100,1,1,2700,2800,,360,,"true",4,7,,,,,,,,,"sc/effects.sc","explosion_cloud_1","true","true",150,150,5000,,
"explosion_fire",4,300,300,1,1,1200,1200,,360,,,1,7,1,10,,90,100,,,,"sc/effects.sc","FireParticle1",,,200,50,1500,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"explosion_continousFire",8,1500,1500,150,100,700,800,,360,,"true",1,3,,10,,,,300,,,"sc/effects.sc","MolotovTrailParticle","true",,200,1,,,
"explosion_glow",8,100,100,1,1,500,2500,,360,,"true",1,5,,,25,,,100,,,"sc/effects.sc","Deco_fireplace_glow","true",,150,50,2000,,
"FireBreath_attack_sparks",29,800,800,1,20,500,800,-40,40,"true","true",,,100,200,20,10,200,-200,,,"sc/effects.sc","fireplace_particle",,,180,10,500,,
"FireBreath_attack_glow",19,400,400,40,80,600,1800,-10,10,,,,2,40,60,9,,,,,,"sc/effects.sc","Deco_small_glow",,,1,150,,50,
"FireBreath_attack_flames",42,800,800,5,20,350,450,-15,25,"true","true",,,80,150,20,,,30,,,"sc/effects.sc","FireParticle3",,"true",1,130,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
"Death_sparkle",8,180,180,1,3,300,800,-15,15,"true",,,,40,100,44,80,230,-600,,,"sc/effects.sc","Death_blue_sparkle1",,"true",90,10,1000,30,"Death_sparkle_purple"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"TargetDummy_planks",31,130,130,2,5,500,1200,,360,,"true",1,3,10,100,8,100,300,-500,,,"sc/effects.sc","crate_particle_1","true",,120,10,,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"TargetDummy_planks2",15,130,130,2,5,2500,3000,,360,,"true",1,3,10,50,4,400,700,-1200,,,"sc/effects.sc","crate_particle_1","true",,100,50,,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"TargetDummy_smoke",10,150,150,1,3,1100,2500,,360,"true",,,2,5,15,59,50,90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",140,1,400,,
"Death_sparkle_still1",12,180,180,1,3,300,2500,-20,20,"true",,,2,,35,25,,50,-150,,,"sc/effects.sc","Death_blue_sparkle1",,"true",80,10,2000,25,"Death_sparkle2_purple"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"death_sparkle_still2",17,180,180,1,3,300,3000,-30,30,"true",,,2,,45,45,,30,-150,,,"sc/effects.sc","Death_blue_sparkle1",,"true",60,10,2500,25,"Death_sparkle3_purple"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"Death_blue_smoke_shadow",6,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,,-20,-90,-35,,,"sc/effects.sc","Death_blue_smoke","true",,25,40,2500,40,
"ExplosiveBarrel_cont_glow1",10,1000,1000,5,500,2200,500,,,,,,1,,,65,,,,,,"sc/effects.sc","Deco_small_glow2",,,20,40,500,,
"ExplosiveBarrel_cont_glow2",10,1000,1000,5,500,2200,500,,,,,,1,,,65,,,,,,"sc/effects.sc","Deco_small_glow2",,,20,40,500,,
"ExplosiveBarrel_cont_glow3",5,1000,1000,2,50,2200,500,,,,,,1,,,65,,,,,,"sc/effects.sc","Deco_small_glow2",,,20,40,500,,
"ExplosiveBarrel_cont_sparks",9,100,5000,,50,100,2900,,360,,"true",,,,50,61,100,250,-500,,100,"sc/effects.sc","SparkleBlue",,,100,10,200,25,
"Death_sparkle_purple",8,180,180,1,3,300,800,-15,15,"true",,,,40,100,44,80,230,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Death_sparkle2_purple",12,180,180,1,3,600,2900,-20,20,"true",,,2,,35,25,,50,-150,,,"sc/effects.sc","Death_purple_sparkle1",,"true",80,10,1600,25,
