Name,Size,Title,Info,ItemFile,ItemExportName,Count,GameType,PlayerType,Spell,Rarity,Type,MinElixir,MaxElixir,Weight,MinArena,MaxArena
Cast_Quest_Specific_05,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Rage,,,,,1,,
Cast_Quest_Specific_06,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,Log,,,,,1,,
Cast_Quest_Specific_07,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,Goblins,,,,,1,,
Cast_Quest_Specific_08,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,SpearGoblins,,,,,1,,
Cast_Quest_Specific_09,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,FireSpirits,,,,,1,,
Cast_Quest_Specific_10,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,IceGolemite,,,,,1,,
Cast_Quest_Specific_11,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,25,Ladder,1v1,Bats,,,,,1,,
Cast_Quest_Specific_12,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Arrows,,,,,1,,
Cast_Quest_Specific_13,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Knight,,,,,1,,
Cast_Quest_Specific_14,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,GoblinBarrel,,,,,1,,
Cast_Quest_Specific_15,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Bomber,,,,,1,,
Cast_Quest_Specific_16,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Tornado,,,,,1,,
Cast_Quest_Specific_17,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Clone,,,,,1,,
Cast_Quest_Specific_18,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Heal,,,,,1,,
Cast_Quest_Specific_19,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,BlowdartGoblin,,,,,1,,
Cast_Quest_Specific_20,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Archer,,,,,1,,
Cast_Quest_Specific_21,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Minions,,,,,1,,
Cast_Quest_Specific_22,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Princess,,,,,1,,
Cast_Quest_Specific_23,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,IceWizard,,,,,1,,
Cast_Quest_Specific_24,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Miner,,,,,1,,
Cast_Quest_Specific_25,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,MegaMinion,,,,,1,,
Cast_Quest_Specific_26,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Cannon,,,,,1,,
Cast_Quest_Specific_27,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,SkeletonWarriors,,,,,1,,
Cast_Quest_Specific_28,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Tombstone,,,,,1,,
Cast_Quest_Specific_29,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Mortar,,,,,1,,
Cast_Quest_Specific_30,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,AngryBarbarians,,,,,1,,
Cast_Quest_Specific_31,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,BabyDragon,,,,,1,,
Cast_Quest_Specific_32,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,GoblinGang,,,,,1,,
Cast_Quest_Specific_33,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,DarkPrince,,,,,1,,
Cast_Quest_Specific_34,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,SkeletonBalloon,,,,,1,,
Cast_Quest_Specific_35,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Poison,,,,,1,,
Cast_Quest_Specific_36,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Freeze,,,,,1,,
Cast_Quest_Specific_37,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,RageBarbarian,,,,,1,,
Cast_Quest_Specific_38,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Fireball,,,,,1,,
Cast_Quest_Specific_39,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Tesla,,,,,1,,
Cast_Quest_Specific_40,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,MiniPekka,,,,,1,,
Cast_Quest_Specific_41,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,SkeletonArmy,,,,,1,,
Cast_Quest_Specific_42,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Valkyrie,,,,,1,,
Cast_Quest_Specific_43,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,HogRider,,,,,1,,
Cast_Quest_Specific_44,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,InfernoDragon,,,,,1,,
Cast_Quest_Specific_45,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,ElectroWizard,,,,,1,,
Cast_Quest_Specific_46,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Musketeer,,,,,1,,
Cast_Quest_Specific_47,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,FirespiritHut,,,,,1,,
Cast_Quest_Specific_48,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Balloon,,,,,1,,
Cast_Quest_Specific_49,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Bowler,,,,,1,,
Cast_Quest_Specific_50,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Prince,,,,,1,,
Cast_Quest_Specific_51,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,DarkWitch,,,,,1,,
Cast_Quest_Specific_52,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Wizard,,,,,1,,
Cast_Quest_Specific_53,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Giant,,,,,1,,
Cast_Quest_Specific_54,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,BattleRam,,,,,1,,
Cast_Quest_Specific_55,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,DartBarrell,,,,,1,,
Cast_Quest_Specific_56,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Graveyard,,,,,1,,
Cast_Quest_Specific_57,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,RoyalGiant,,,,,1,,
Cast_Quest_Specific_58,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,MinionHorde,,,,,1,,
Cast_Quest_Specific_59,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Barbarians,,,,,1,,
Cast_Quest_Specific_60,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Xbow,,,,,1,,
Cast_Quest_Specific_61,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,ZapMachine,,,,,1,,
Cast_Quest_Specific_62,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Witch,,,,,1,,
Cast_Quest_Specific_63,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,BombTower,,,,,1,,
Cast_Quest_Specific_64,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,Pekka,,,,,1,,
Cast_Quest_Specific_65,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,InfernoTower,,,,,1,,
Cast_Quest_Specific_66,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,GoblinHut,,,,,1,,
Cast_Quest_Specific_67,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,AxeMan,,,,,1,,
Cast_Quest_Specific_68,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Rocket,,,,,1,,
Cast_Quest_Specific_69,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,GiantSkeleton,,,,,1,,
Cast_Quest_Specific_70,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Lightning,,,,,1,,
Cast_Quest_Specific_71,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,20,Ladder,1v1,Assassin,,,,,1,,
Cast_Quest_Specific_72,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,Elixir Collector,,,,,1,,
Cast_Quest_Specific_73,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,LavaHound,,,,,1,,
Cast_Quest_Specific_74,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,BarbarianHut,,,,,1,,
Cast_Quest_Specific_75,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,15,Ladder,1v1,MovingCannon,,,,,1,,
Cast_Quest_Specific_76,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,MegaKnight,,,,,1,,
Cast_Quest_Specific_77,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,Golem,,,,,1,,
Cast_Quest_Specific_78,1,TID_CAST_QUEST_SINGLE,TID_CAST_QUEST_SINGLE_INFO,sc/ui.sc,quest_item_pvp,10,Ladder,1v1,ThreeMusketeers,,,,,1,,
