"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","VI"
"TID_TOURNAMENT_BLIND_DECK_EXPLAINED","Enter each battle with a deck we've created for you, including cards you may not have found yet!","Commencez chaque combat avec un ensemble de cartes préparé pour vous, dont des cartes que vous n'avez pas encore trouvées !","Beginne jeden Kampf mit einem Deck, das wir für dich zusammengestellt haben. Es enthält sogar Karten, die du vielleicht noch nicht gefunden hast!","Participa en cada combate con una baraja creada para ti y que incluye cartas que tal vez no tengas.","Combatti ogni battaglia con un mazzo che abbiamo creato per te e con carte che potresti non aver ancora trovato.","Neem aan elk gevecht deel met kaarten die wij voor je hebben gekozen, inclusief kaarten die je misschien nog niet hebt gevonden!","Gå til kamp med kampkort som vi har valgt ut for deg, inkludert kort du kanskje ikke har funnet ennå!","Her savaşa senin için oluşturduğumuz, daha önce görmediğin kartlar içeren bir desteyle gir!","マッチごとに、Supercellが作成したデッキで戦います！ 見たことのないカードも出るかもしれません...","저희가 준비한 덱으로 전투에 참가해 보세요. 아직 찾지 못한 카드가 들어 있기도 합니다!","Начинай каждый бой с колодой, которую мы для тебя собрали. Там даже могут быть карты, которых у тебя еще нет!","ادخل إلى كل معركة بمجموعة بطاقات أنشأناها لك، بما في ذلك بطاقات ربما لم تعثر عليها بعد!","Entre em cada batalha com um deck criado para você, incluindo cartas que talvez você não tenha encontrado ainda.","每场对战都会由系统为您配置一套随机卡组，甚至会包含您尚未解锁的卡牌！","每場對戰都會由系統為您配出一套隨機牌組，甚至會包含您尚未解鎖的卡牌！","با دستی که برات آماده کردیم وارد هر نبرد بشو که شامل کارت‌هاییه که ممکنه هنوز پیدا نکرده باشی!","Masuki setiap pertempuran dengan dek yang kami buat untukmu, termasuk kartu yang mungkin belum kamu temukan!","Masuk ke setiap pertempuran dengan dek yang kami telah cipta untuk anda, termasuk kad yang mungkin anda belum temui lagi!","Tiến vào mỗi trận đấu bằng một bộ thẻ mà chúng tôi đã tạo cho bạn, bao gồm cả các thẻ có thể bạn còn chưa tìm được!"
"TID_TOURNAMENT_BLIND_DECK_EXPLAINED_SHORT","Enter each battle with a deck we've created for you, including cards you may not have found yet!","Commencez chaque combat avec un ensemble de cartes préparé pour vous, dont des cartes que vous n'avez pas encore trouvées !","Beginne jeden Kampf mit einem Deck, das wir für dich zusammengestellt haben. Es enthält sogar Karten, die du vielleicht noch nicht gefunden hast!","Participa en cada combate con una baraja creada para ti y que incluye cartas que tal vez no tengas.","Combatti ogni battaglia con un mazzo che abbiamo creato per te e con carte che potresti non aver ancora trovato.","Neem aan elk gevecht deel met kaarten die wij voor je hebben gekozen, inclusief kaarten die je misschien nog niet hebt gevonden!","Gå til kamp med kampkort som vi har valgt ut for deg, inkludert kort du kanskje ikke har funnet ennå!","Her savaşa senin için oluşturduğumuz, daha önce görmediğin kartlar içeren bir desteyle gir!","マッチごとに、Supercellが作成したデッキで戦います！ 見たことのないカードも出るかもしれません...","저희가 준비한 덱으로 전투에 참가해 보세요. 아직 찾지 못한 카드가 들어 있기도 합니다!","Начинай каждый бой с колодой, которую мы для тебя собрали. Там даже могут быть карты, которых у тебя еще нет!","ادخل إلى كل معركة بمجموعة بطاقات أنشأناها لك، بما في ذلك بطاقات ربما لم تعثر عليها بعد!","Entre em cada batalha com um deck criado para você, incluindo cartas que talvez você não tenha encontrado ainda.","每场对战都会由系统为您配置一套随机卡组，甚至会包含您尚未解锁的卡牌！","每場對戰都會由系統為您配出一套隨機牌組，甚至會包含您尚未解鎖的卡牌！","با دستی که برات آماده کردیم وارد هر نبرد بشو که شامل کارت‌هاییه که ممکنه هنوز پیدا نکرده باشی!","Masuki setiap pertempuran dengan dek yang kami buat untukmu, termasuk kartu yang mungkin belum kamu temukan!","Masuk ke setiap pertempuran dengan dek yang kami telah cipta untuk anda, termasuk kad yang mungkin anda belum temui lagi!","Tiến vào mỗi trận đấu bằng một bộ thẻ mà chúng tôi đã tạo cho bạn, bao gồm cả các thẻ có thể bạn còn chưa tìm được!"
"TID_KINGS_CUP_START_NOTIFICATION","King's Cup Challenge has started, battle with fresh decks!","Le défi de la coupe du roi a commencé, battez-vous avec de toutes nouvelles cartes !","Die Königspokal-Herausforderung hat begonnen. Kämpfe mit einem neuen Deck!","El desafío de la Copa del Rey ha comenzado. ¡Lucha con nuevas barajas!","La sfida Coppa del re è cominciata, combatti con mazzi nuovi!","De koningsbekeruitdaging is gestart. Vecht met steeds andere gevechtskaarten!","Kongecup-utfordringen er i gang. Spill med nye kort!","Kralın Kupası Meydan Okuması başladı, yeni destelerle oyna!","キングカップチャレンジが始まりました。新しいデッキで戦いましょう！","킹스 컵 도전이 시작되었습니다. 새로운 덱으로 플레이해 보세요!","Началось королевское испытание, сразись со случайной колодой!","لقد بدأ تحدي كأس الملك، تعارك باستخدام بطاقات جديدة!","O Desafio da Copa do Rei começou. Lute com decks novos.","国王杯挑战已经开始，使用随机卡组与对手一决胜负！","國王杯挑戰已經開始，使用隨機牌組與對手一決勝負！","چالش جام پادشاه شروع شده، با دست‌های تازه بازی کن!","Tantangan Piala Raja telah dimulai, main dengan dek baru!","Cabaran Piala Diraja telah bermula, bertempur dengan dek baharu!","Thách đấu Cúp Nhà vua đã bắt đầu, hãy chiến đấu bằng các bộ thẻ mới!"
"TID_HINT_FRIENDLY_BATTLES2","During a Friendly Battle, both players' cards are leveled up to the \qTournament Rules\q for an even playing field.","Au cours d'un combat amical, les cartes des deux joueurs sont mises au niveau du \qRèglement des tournois\q pour que le combat soit équilibré.","Während eines Testspiels werden die Karten aller Spieler auf das Level der \qTurnierregeln\q gebracht, um für Chancengleichheit zu sorgen.","Durante las batallas amistosas, las cartas de ambos jugadores se suben al nivel de las \qreglas del torneo\q para que la competición sea lo más justa posible.","Nelle amichevoli le carte di entrambi i giocatori sono impostate al livello delle \qregole da torneo\q per assicurare uno scontro ad armi pari.","Tijdens een vriendschappelijk gevecht worden de levels van de kaarten van beide spelers aangepast volgens de \qtoernooiregels\q, zodat de wedstrijd eerlijk is.","For å gjøre vennskapskampene rettferdige økes nivået på begge spillernes kort til nivået som gjelder for \qturneringsreglene\q.","Dostluk Savaşı sırasında her iki oyuncunun kartları, daha adil bir oyun olması için \qTurnuva Kurallarına\q göre aynı seviyeye getirilir.","フレンドバトルでは、公平性を期すため、双方のプレイヤーのカードが\q大会ルール\qの上限までレベルアップします。","친선전에서는 공정한 플레이를 위해 양쪽 플레이어의 카드가 \q토너먼트 규칙\q에 맞춰 레벨 업됩니다.","Во время дружеских боев карты обоих игроков переходят на \qТурнирный\q уровень, чтобы все было честно.","أثناء معركة ودية ما، تتم ترقية مستوى بطاقات كلا اللاعبين طبقًا \qلقواعد البطولة\q لتحقيق مجال لعب متكافئ.","Em uma batalha amistosa, as cartas dos dois jogadores são ajustadas de acordo com as \qRegras do Torneio\q para garantir um jogo justo.","友谊战采用了\q锦标赛规则\q，设置了卡牌等级上限和皇家塔等级上限，使得对战相对公平。\n关注官方微信服务号cr-kefu和订阅号crsupercell","友誼戰採用了\q聯賽規則\q，設定了卡牌等級上限和皇家塔等級上限，使得對戰相對公平。","در طی یک نبرد دوستانه، کارت‌های هر دو بازیکن برای یک میدان نبرد برابر، به \qقوانین مسابقه\q ارتقا داده می‌شن.","Selama Pertempuran Persahabatan, kartu kedua pemain naik level ke \qAturan Turnamen\q agar adil.","Semasa Pertempuran Persahabatan, kad kedua-dua pemain dinaikkan tahap ke \qPeraturan Pertandingan\q untuk medan permainan lancar.","Trong Trận chiến Giao hữu, thẻ của cả hai người chơi đều được thăng cấp theo \qLuật lệ Giải đấu\q để sân chơi được công bằng."
"TID_INBOX_RED_TITLE","Support (RED), fight against AIDS!","Soutenez (RED), luttez contre le SIDA !","Unterstütze (RED) beim Kampf gegen Aids!","¡Colabora con (RED) y lucha contra el sida!","Sostieni (RED), lotta contro l'AIDS!","Steun (RED), vecht tegen AIDS!","Støtt (RED), ta opp kampen mot AIDS!","(RED)'i destekle, AIDS'le savaş!","エイズと戦う(RED)の活動を支援しましょう！","(RED)와 함께 에이즈와 맞서 싸우세요!","Поддержи (RED), борись со СПИДом!","ادعم (RED) وكافح مرض الإيدز!","Ajude a (RED). Lute contra a AIDS!","支持(RED)，以爱抗艾！","支持(RED)，以愛抗愛！","از (RED) پشتیبانی کن، جنگ علیه ایدز!","Dukung (RED), berjuang melawan AIDS!","Sokong (RED), menentang AIDS!","Hãy ủng hộ (RED), chiến đấu chống lại bệnh AIDS!"
"TID_DOUBLE_ELIXIR_CHALLENGE","Double Elixir Challenge","Défi double élixir","Doppelelixier-Herausforderung","Desafío de doble elixir","Sfida doppio elisir","Dubbel-elixiruitdaging","Dobbel eliksir-utfordring","İki Kat İksir Meydan Okuması","ダブルエリクサーチャレンジ","더블 엘릭서 도전","Испытание двойного эликсира","تحدي الإكسير المضاعَف","Desafio do Elixir Duplo","双倍圣水挑战","雙倍聖水挑戰","مبارزه طلبی اکسیر دو برابر","Tantangan Eliksir Ganda","Cabaran Eliksir Berganda","Thách đấu Gấp đôi Tiên dược"
"TID_KINGS_CUP_CHALLENGE","King's Cup Challenge","Défi de la coupe du roi","Königspokal-Herausforderung","Desafío de la Copa del Rey","Sfida Coppa del re","Koningsbekeruitdaging","Kongecup-utfordring","Kral Kupası Meydan Okuması","キングカップチャレンジ","킹스 컵 도전","Испытание королевского кубка","تحدي كأس الملك","Desafio da Copa do Rei","国王杯挑战","國王杯挑戰","مبارزه طلبی جام پادشاه","Tantangan Piala Raja","Cabaran Piala Raja","Thách đấu Cúp Nhà vua"
"TID_BLIND_DECK_CHALLENGE","Blind Deck Challenge","Défi à l'aveugle","Herausforderung ,,Blindes Deck\q","Desafío de baraja ciega","Sfida mazzo ignoto","Uitdaging met blinde kaarten","Tilfeldige kampkort-utfordring","Kör Deste Meydan Okuması","ブラインドデッキ・チャレンジ","블라인드 덱 도전","Испытание вслепую","تحدي البطاقات الغامضة","Desafio do Deck Surpresa","随机卡组挑战","隨機牌組挑戰","مبارزه طلبی دست کورکورانه","Tantangan Dek Buta","Cabaran Dek Buta","Thách đấu Ngẫu nhiên"
"TID_PRODUCT_RED_TIME_LEFT_DAYS","in <number> days","<number> jours","in <number> Tagen","en <number> días","tra <number> giorni","over <number> dagen","om <number> dager","<number> gün kaldı","<number> 日","<number>일 남음","через <number> дн.","<number> من الأيام","em<number> dias","<number>天后","<number>天後","بعد از <number> روز","dalam <number> hari","dalam <number> hari","sau <number> ngày"
"TID_PRODUCT_RED_TIME_LEFT_DAY","in 1 day","1 jour","in einem Tag","en 1 día","tra 1 giorno","over 1 dag","om 1 dag","1 gün kaldı","1日","1일 남음","через 1 день","يوم واحد","em 1 dia","1天后","1天後","بعد از 1 روز","dalam 1 hari","dalam 1 hari","sau 1 ngày"
"TID_RED_THANKYOU_INFO","100% of the proceeds from your purchase go to fight against AIDS with (RED).","100 % des bénéfices de vos achats seront reversés à (RED)® pour combattre le SIDA.","100 % des Erlöses aus deinem Kauf gehen an (RED)s Kampf gegen Aids.","El 100 % de los beneficios de tu compra se destinará a la lucha de (RED) contra el sida.","Il 100% dei ricavati provenienti dal tuo acquisto andrà alla lotta all'AIDS di (RED).","100% van de opbrengst van jouw aankoop komt ten goede aan de strijd tegen AIDS met (RED).","100 % av overskuddet fra kjøpet ditt går til å kjempe mot AIDS sammen med (RED).","Satın alımlarından gelen gelirin tamamı (RED) ile AIDS savaşına gidecek.","購入すると、売上金の100%が、エイズと戦う(RED)の活動に寄付されます。","수익금 전액은 (RED)®의 에이즈 퇴치 운동에 쓰입니다.","100 % прибыли пойдет на борьбу (RED) со СПИДом.","ستذهب 100% من عوائد شرائك إلى جهود مكافحة مرض الإيدز مع (RED).","100% dos lucros obtidos com suas compras são revertidos para a luta da (RED) contra a AIDS.","您购买该礼包所创造的收益将全部用于(RED)抗艾滋活动。","您購買該組合包所產生的收入將全部用於(RED)抗愛滋活動。","100% عواید حاصل از خرید صرف مبارزه با ایدز به همراهی (RED) خواهد شد.","100% penghasilan dari pembelian akan disalurkan untuk melawan AIDS bersama (RED).","100% penerusan daripada pembelian anda disumbangkan untuk menentang AIDS dengan (RED).","100% doanh thu từ giao dịch mua của bạn sẽ được quyên góp để chống lại AIDS cùng với (RED)."
"TID_CHARACTER_ICE_SPIRITS","Ice Spirit","Esprit de glace","Eisgeist","Espíritu de hielo","Spirito del ghiaccio","IJsgeest","Isånd","Buz Ruhu","アイススピリット","아이스 스피릿","Ледяной дух","روح الجليد","Espírito de Gelo","冰雪精灵","冰雪精靈","روح یخی","Roh Es","Semangat Ais","Băng Tinh Linh"
"TID_FROM","From:","De :","Von:","De:","Da:","Van:","Fra:","Kimden:","From:","발신자","От:","من:","De:","来自于","來自於","از طرف:","Dari:","Daripada:","Từ:"
"TID_HINT_RAGE","The Rage Spell increases movement and attack speed.","Le sort de rage accélère la vitesse d'attaque et de déplacement.","Der Wutzauber steigert die Bewegungs- und Angriffsgeschwindigkeit.","El hechizo de furia hace que aumente la velocidad de movimiento y de ataque.","L'incantesimo Furia aumenta movimento e velocità di attacco.","De woedespreuk verhoogt de verplaatsings- en aanvalssnelheid.","Raseriformelen øker hastigheten på bevegelse og angrep.","Öfke Büyüsü, hareket ve saldırı hızını artırır.","レイジの呪文は移動速度と\n攻撃速度をアップさせます。","분노 마법은 이동 및 공격 속도를 높여줍니다.","Яростное заклинание увеличивает скорость движения и атаки.","تعويذة الغضب تزيد سرعة الحركة والهجوم.","O Feitiço de Fúria aumenta a velocidade de movimento e de ataque.","狂暴法术可以提高移动和攻击速度。\n关注官方微信服务号cr-kefu和订阅号crsupercell","狂暴法術可以提高移動和攻擊速度。","طلسم خشم حرکت و سرعت حمله رو افزایش میده.","Mantra Amarah menambah kecepatan gerakan dan serangan.","Sihir Kemarahan menambah pergerakan dan kelajuan serangan.","Thần chú Thịnh nộ tăng tốc độ di chuyển và tấn công."
"TID_SPELL_ICE_SPIRITS","Ice Spirit","Esprit de glace","Eisgeist","Espíritu de hielo","Spirito del ghiaccio","IJsgeest","Isånd","Buz Ruhu","アイススピリット","아이스 스피릿","Ледяной дух","روح الجليد","Espírito de gelo","冰雪精灵","冰雪精靈","روح یخی","Roh Es","Semangat Ais","Băng Tinh Linh"
"TID_SPELL_INFO_ICE_SPIRITS","Spawns one lively little Ice Spirit to freeze a group of enemies. Stay frosty.","Fait apparaître un petit esprit de glace plein d'entrain, capable de congeler un groupe d'ennemis. Un vent de fraîcheur.","Lässt einen kleinen, lebhaften Eisgeist erscheinen, der eine Gruppe von Feinden einfriert. Ziemlich cool.","Genera un travieso espíritu de hielo que congela a un grupo de enemigos. Se acerca el invierno...","Genera un simpatico spiritello del ghiaccio che congela un gruppo di nemici. Stanno freschi!","Brengt een levendige ijsgeest voort om een groep vijanden te bevriezen. Houd het hoofd koel.","Lager en livlig liten isånd som fryser en gruppe fiender. Hold hodet kaldt.","Bir düşman grubunu dondurmak için küçük bir canlı Buz Ruhu doğurur. Soğuk iyidir.","元気なアイススピリットを呼び出して、敵の集団を凍らせます。冷たくあしらってやりましょう。","작은 아이스 스피릿을 소환해 적들을 얼려버립니다. 꽁꽁.","Призывает маленького ледяного духа, морозящего группу противников. Охладись!","يتولّد عنها روح جليد صغيرة لتجميد مجموعة من الأعداء. كن مستعدًا ببعض الصقيع.","Gera um pequeno Espírito de Gelo para congelar um grupo de inimigos. Fique frio!","一个活泼可爱的冰雪精灵，它可以冻住一群敌军。冻住，不许走！","一個活潑可愛的冰雪精靈，它可以凍住一群敵軍。凍住，不許走！","یک روح یخی کوچیک و دوست داشتی تکثیر می‌کنه که یک گروه دشمن رو فریز می‌کنه. خونسرد باش.","Menghasilkan satu Roh Es kecil penuh semangat untuk membekukan sekelompok musuh. Salam beku.","Mewujudkan satu Semangat Ais kecil secara langsung untuk membekukan sekumpulan musuh. Kekal beku.","Tạo ra một Băng Tinh Linh nhỏ và dễ thương sẽ đóng băng một đám kẻ địch. Coi chừng bị đóng băng đấy."
"TID_TIME_LIMITED_OFFER_HAS_ENDED","Time limited offer has ended","L'offre à durée limitée a expiré","Zeitlich begrenztes Angebot ist abgelaufen","¡La oferta limitada ha terminado!","L'offerta limitata è terminata","De tijdelijke aanbieding is verlopen","Det tidsbegrensede tilbudet er avsluttet","Sınırlı süreli teklifin süresi geçti","限定提供は終了しました","한정 특가 판매 종료","Ограниченное предложение закончилось","انتهى العرض محدود الوقت","A oferta por tempo limitado expirou","限时特惠活动已结束","限時特惠活動已結束","پیشنهاد با زمان محدود به پایان رسید","Penawaran waktu terbatas telah berakhir","Tawaran masa terhad telah tamat","Ưu đãi thời gian có hạn đã kết thúc"
