"Name","FileName","ExportName","Layer","LowendLayer","ShadowScale","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect"
"royal_red_endwall1","sc/level_royal_arena.sc","royal_red_endwall1","Object","Ground",95,,-48,4,,
"royal_red_tower1","sc/level_royal_arena.sc","royal_red_tower1","Object","Ground",95,,,37,,
"royal_red_tower2","sc/level_royal_arena.sc","royal_red_tower2","Object","Ground",95,,-32,18,,
"royal_red_wall_middle","sc/level_royal_arena.sc","royal_red_wall_middle","Object","Ground",100,21,-88,26,,
"royal_mid_tower","sc/level_royal_arena.sc","royal_mid_tower","Object","Ground",95,-8,76,14,,
"royal_red_endwall2","sc/level_royal_arena.sc","royal_red_endwall2","Object","Ground",95,35,-48,59,,
"royal_blue_endwall1","sc/level_royal_arena.sc","royal_blue_endwall1","Object","Ground",96,-12,59,24,,
"royal_blue_endwall2","sc/level_royal_arena.sc","royal_blue_endwall2","Object","Ground",95,-13,72,11,,
"royal_blue_roof_left","sc/level_royal_arena.sc","royal_blue_roof_left","Object","Ground",95,-28,-139,,,
"royal_blue_roof_right","sc/level_royal_arena.sc","royal_blue_roof_right","Object","Ground",95,-4,-112,11,,
"royal_blue_tower1","sc/level_royal_arena.sc","royal_blue_tower1","Object","Ground",95,2,11,10,,
"royal_blue_tower2","sc/level_royal_arena.sc","royal_blue_tower2","Object","Ground",94,24,-111,53,,
"royal_blue_wall_middle","sc/level_royal_arena.sc","royal_blue_wall_middle","Object","Ground",95,-7,43,42,,
"royal_red_roof_left","sc/level_royal_arena.sc","royal_red_roof_left","Object","Ground",95,3,-151,33,,
"royal_red_roof_right","sc/level_royal_arena.sc","royal_red_roof_right","Object","Ground",95,-9,-146,,,
"royal_sidestand_left","sc/level_royal_arena.sc","royal_sidestand_left","Object","Ground",95,-29,147,8,,
"royal_sidestand_right","sc/level_royal_arena.sc","royal_sidestand_right","Object","Ground",84,-35,112,1,,
"royal_blocktree","sc/level_royal_arena.sc","royal_blocktree","Object","Ground",95,-6,-6,29,,
"royal_bush1x","sc/level_royal_arena.sc","royal_bush1x","Object","Ground",95,-3,-5,25,,
"royal_mushrooms","sc/level_royal_arena.sc","royal_mushrooms","Object","Ground",95,-2,4,6,,
"goblin_roofshade_left_blue","sc/level_goblin_arena.sc","goblin_roofshade_left_blue","Object","Ground",95,-6,-6,,,
"goblin_roofshade_left_red","sc/level_goblin_arena.sc","goblin_roofshade_left_red","Object","Ground",95,-6,-6,,,
"goblin_roofshade_right_blue","sc/level_goblin_arena.sc","goblin_roofshade_right_blue","Object","Ground",95,-6,-6,,,
"goblin_roofshade_right_red","sc/level_goblin_arena.sc","goblin_roofshade_right_red","Object","Ground",95,-6,-6,,,
"goblin_sharp1","sc/level_goblin_arena.sc","goblin_sharp1","Object","Ground",95,-6,-6,,,
"goblin_sharp2","sc/level_goblin_arena.sc","goblin_sharp2","Object","Ground",95,-6,-6,,,
"goblin_sharp3","sc/level_goblin_arena.sc","goblin_sharp3","Object","Ground",95,-6,-6,,,
"goblin_sidestand_left","sc/level_goblin_arena.sc","goblin_sidestand_left","Object","Ground",95,-6,-6,,,
"goblin_sidestand_right","sc/level_goblin_arena.sc","goblin_sidestand_right","Object","Ground",95,-6,-6,,,
"goblin_stone1","sc/level_goblin_arena.sc","goblin_stone1","Object","Ground",95,-6,-6,,,
"goblin_stone2","sc/level_goblin_arena.sc","goblin_stone2","Object","Ground",95,-6,-6,,,
"goblin_waterwheel","sc/level_goblin_arena.sc","goblin_waterwheel","Object","Ground",95,10,-41,21,,
"goblin_woodpole1","sc/level_goblin_arena.sc","goblin_woodpole1","Object","Ground",95,-6,-6,,,
"goblin_woodpole2","sc/level_goblin_arena.sc","goblin_woodpole2","Object","Ground",95,-6,-6,,,
"goblin_woodtower1","sc/level_goblin_arena.sc","goblin_woodtower1","Object","Ground",95,-6,-6,,,
"goblin_woodtower2","sc/level_goblin_arena.sc","goblin_woodtower2","Object","Ground",95,2,-23,44,,
"goblin_woodwall1","sc/level_goblin_arena.sc","goblin_woodwall1","Object","Ground",95,-6,-6,,,
"goblin_tree1","sc/level_goblin_arena.sc","goblin_tree1","Object","Ground",95,-6,-6,,,
"goblin_tree2","sc/level_goblin_arena.sc","goblin_tree2","Object","Ground",95,-6,-6,,,
"goblin_tree3","sc/level_goblin_arena.sc","goblin_tree3","Object","Ground",95,-6,-6,,,
"goblin_tree4","sc/level_goblin_arena.sc","goblin_tree4","Object","Ground",95,-6,-6,,,
"goblin_red_tower","sc/level_goblin_arena.sc","goblin_red_tower","Object","Ground",95,-6,-6,,,
"goblin_blue_tower","sc/level_goblin_arena.sc","goblin_blue_tower","Object","Ground",95,-6,-6,,,
"training_cliff1","sc/arena_training.sc","cliff01","Object","Ground",95,-15,34,24,,
"training_cliff2","sc/arena_training.sc","cliff02","Object","Ground",95,-6,4,14,,
"training_cliff3","sc/arena_training.sc","cliff03","Object","Ground",95,-8,,31,,
"training_cliff4","sc/arena_training.sc","cliff04","Object","Ground",95,-3,-2,24,,
"training_cliff5","sc/arena_training.sc","cliff05","Object","Ground",95,-8,-8,19,,
"training_cliff6","sc/arena_training.sc","cliff06","Object","Ground",95,-13,2,32,,
"training_cliff7","sc/arena_training.sc","cliff07","Object","Ground",95,-10,2,13,,
"training_tree1","sc/arena_training.sc","tree01","Object","Ground",95,-6,-6,,,
"training_tree2","sc/arena_training.sc","tree02","Object","Ground",95,-6,-6,,,
"training_tree3","sc/arena_training.sc","tree03","Object","Ground",95,-6,-6,,,
"training_bush1","sc/arena_training.sc","bush01","Object","Ground",95,-6,-6,,,
"training_bush2","sc/arena_training.sc","bush02","Object","Ground",95,-6,-6,,,
"training_cliffs_left","sc/arena_training.sc","training_cliffs_left","Object","Ground",95,-28,92,10,,
"training_cliffs_right","sc/arena_training.sc","training_cliffs_right","Object","Ground",98,-23,93,13,,
"training_deco1","sc/arena_training.sc","training_deco1","Object","Ground",72,2,,22,386,
"training_deco2","sc/arena_training.sc","training_deco2","Object","Ground",78,,,13,386,
"fence_left_back","sc/arena_training.sc","fence_left_back","Object","Ground",95,,10,15,,
"fence_left_front","sc/arena_training.sc","fence_left_front","Object","Ground",98,2,-6,21,,
"fence_right_back","sc/arena_training.sc","fence_right_back","Object","Ground",95,1,7,12,,
"fence_right_front","sc/arena_training.sc","fence_right_front","Object","Ground",95,2,,21,,
"tree_group01","sc/arena_training.sc","tree_group01","Object","Ground",90,-6,-6,,,
"bone_1_left","sc/level_bone_arena.sc","bone_1_left","Object","Ground",90,-3,-32,10,,
"bone_1_right","sc/level_bone_arena.sc","bone_1_right","Object","Ground",90,6,-56,60,,
"bone_2_left","sc/level_bone_arena.sc","bone_2_left","Object","Ground",90,-9,19,,,
"bone_2_right","sc/level_bone_arena.sc","bone_2_right","Object","Ground",90,,5,64,,
"bone_endstones_bottom","sc/level_bone_arena.sc","bone_endstones_bottom","Object","Ground",90,-15,-31,31,,
"bone_endstones_top","sc/level_bone_arena.sc","bone_endstones_top","Object","Ground",90,-10,-21,33,,
"bone_sidestands_botleft","sc/level_bone_arena.sc","bone_sidestands_botleft","Object","Ground",90,-19,132,,,
"bone_sidestands_botright","sc/level_bone_arena.sc","bone_sidestands_botright","Object","Ground",90,-15,153,5,,
"bone_sidestands_right","sc/level_bone_arena.sc","bone_sidestands_right","Object","Ground",90,-12,127,,,
"bone_sidestands_topleft","sc/level_bone_arena.sc","bone_sidestands_topleft","Object","Ground",90,-31,127,5,,
"bone_tower1","sc/level_bone_arena.sc","bone_tower1","Object","Ground",98,-8,-45,,,
"bone_tower2","sc/level_bone_arena.sc","bone_tower2","Object","Ground",98,-6,-35,22,,
"bone_deco_left","sc/level_bone_arena.sc","bone_deco_left","Object","Object",90,,-2,21,380,
"bone_deco_right","sc/level_bone_arena.sc","bone_deco_right","Object","Object",90,-1,,37,380,
"bone_decostone1","sc/level_bone_arena.sc","bone_decostone1","Object","Ground",111,-13,-17,,,
"bone_decostone2","sc/level_bone_arena.sc","bone_decostone2","Object","Ground",90,2,-11,39,,
"dark_fire_pot","sc/level_dark_arena.sc","dark_fire_pot","Object","Object",95,-6,-6,,,"dark_arena_pot_flame"
"dark_gate_bottom","sc/level_dark_arena.sc","dark_gate_bottom","Object","Ground",95,-6,-6,,,
"dark_gate_top","sc/level_dark_arena.sc","dark_gate_top","Object","Ground",95,-6,-6,,,
"dark_deco1","sc/level_dark_arena.sc","dark_deco1","Object","Ground",84,,-4,20,410,
"dark_pekka_bottom_left","sc/level_dark_arena.sc","dark_pekka_bottom_left","Object","Ground",95,-6,-6,,,
"dark_pekka_bottom_right","sc/level_dark_arena.sc","dark_pekka_bottom_right","Object","Ground",95,-6,-6,,,
"dark_pekka_top_left","sc/level_dark_arena.sc","dark_pekka_top_left","Object","Ground",95,-6,-6,,,
"dark_pekka_top_right","sc/level_dark_arena.sc","dark_pekka_top_right","Object","Ground",95,-6,-6,,,
"dark_stand_blue_left","sc/level_dark_arena.sc","dark_stand_blue_left","Object","Ground",95,-6,-6,,,
"dark_stand_blue_right","sc/level_dark_arena.sc","dark_stand_blue_right","Object","Ground",95,-6,-6,,,
"dark_stand_left_red","sc/level_dark_arena.sc","dark_stand_left_red","Object","Ground",95,-6,-6,,,
"dark_stand_red_right","sc/level_dark_arena.sc","dark_stand_red_right","Object","Ground",95,-6,-6,,,
"barbarian_blocktree","sc/level_barbarian_arena.sc","barbarian_blocktree","Object","Ground",95,-6,-6,29,,
"barbarian_blue_barracks","sc/level_barbarian_arena.sc","barbarian_blue_barracks","Object","Ground",95,-22,-4,38,,
"barbarian_red_barracks","sc/level_barbarian_arena.sc","barbarian_red_barracks","Object","Ground",95,-6,-6,31,,
"barbarian_blue_sidestand_left","sc/level_barbarian_arena.sc","barbarian_blue_sidestand_left","Object","Ground",95,-11,1,20,,
"barbarian_blue_sidestand_right","sc/level_barbarian_arena.sc","barbarian_blue_sidestand_right","Object","Ground",95,-17,-6,26,,
"barbarian_red_sidestand_left","sc/level_barbarian_arena.sc","barbarian_red_sidestand_left","Object","Ground",95,-6,-6,10,,
"barbarian_red_sidestand_right","sc/level_barbarian_arena.sc","barbarian_red_sidestand_right","Object","Ground",95,-6,-6,19,,
"barbarian_tower1","sc/level_barbarian_arena.sc","barbarian_tower1","Object","Ground",95,-4,9,20,,
"barbarian_tower2","sc/level_barbarian_arena.sc","barbarian_tower2","Object","Ground",95,,5,11,,
"barbarian_tower3","sc/level_barbarian_arena.sc","barbarian_tower3","Object","Ground",104,-12,25,20,,
"barbarian_tower4","sc/level_barbarian_arena.sc","barbarian_tower4","Object","Ground",95,5,11,23,,
"barbarian_barrell","sc/level_barbarian_arena.sc","barbarian_barrell","Object","Ground",95,-8,51,39,,
"barbarian_fence1","sc/level_barbarian_arena.sc","barbarian_fence1","Object","Ground",95,-2,4,39,,
"barbarian_wall1","sc/level_barbarian_arena.sc","barbarian_wall1","Object","Ground",95,-8,2,,,
"barbarian_wall2","sc/level_barbarian_arena.sc","barbarian_wall2","Object","Ground",95,2,1,39,,
"barbarian_bush1x","sc/level_barbarian_arena.sc","barbarian_bush1x","Object","Ground",95,-3,-5,25,,
"barbarian_mushrooms","sc/level_barbarian_arena.sc","barbarian_mushrooms","Object","Ground",95,-2,4,6,,
"barbarian_deco1","sc/level_barbarian_arena.sc","barbarian_deco1","Object","Ground",95,-4,13,24,392,
"barbarian_deco2","sc/level_barbarian_arena.sc","barbarian_deco2","Object","Ground",95,-4,13,39,392,
"spell_arena_edge_back","sc/level_spell_arena.sc","arena_edge_back","Object","Ground",95,-6,-6,,,
"spell_arena_edge_front","sc/level_spell_arena.sc","arena_edge_front","Object","Ground",95,-6,-6,,,
"spell_arena_edge_left","sc/level_spell_arena.sc","arena_edge_left","Object","Ground",95,-6,-6,,,
"spell_arena_edge_right","sc/level_spell_arena.sc","arena_edge_right","Object","Ground",95,-6,-6,,,
"spell_arena_edge_pole","sc/level_spell_arena.sc","arena_edge_pole","Object","Ground",95,-6,-6,,,
"spell_entry_pole_back","sc/level_spell_arena.sc","entry_pole_back","Object","Ground",95,-6,-6,,,
"spell_entry_pole_front","sc/level_spell_arena.sc","entry_pole_front","Object","Ground",95,-6,-6,,,
"spell_crystal_rock_left","sc/level_spell_arena.sc","crystal_rock_left","Object","Ground",95,-6,-6,,,
"spell_crystal_rock_right","sc/level_spell_arena.sc","crystal_rock_right","Object","Ground",95,-6,-6,,,
"spell_pot_left","sc/level_spell_arena.sc","spell_pot_left","Object","Ground",95,-6,-6,,,
"spell_pot_right","sc/level_spell_arena.sc","spell_pot_right","Object","Ground",95,-6,-6,,,
"spell_stand_blue_left","sc/level_spell_arena.sc","stand_blue_left","Object","Ground",95,-6,-6,,,
"spell_stand_blue_right","sc/level_spell_arena.sc","stand_blue_right","Object","Ground",95,-6,-6,,,
"spell_stand_red_left","sc/level_spell_arena.sc","stand_red_left","Object","Ground",95,-6,-6,,,
"spell_stand_red_right","sc/level_spell_arena.sc","stand_red_right","Object","Ground",95,-6,-6,,,
"spell_red_deco","sc/level_spell_arena.sc","spell_red_deco","Object","Ground",95,-6,-6,,,
"spell_blue_deco","sc/level_spell_arena.sc","spell_blue_deco","Object","Ground",95,-6,-6,,,
