"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","ShadowClamp","Music","MusicStartTime","Sound","SoundStartTime","SoundPlayOvertime","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","NoStartScreen","NoEndScreen","HideTopUI","HideManaBar","EndScreenDelay","FileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount"
,,,,,,,,,,,,"Tut_count_01",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_goblin",,"true",,30,,55,100,100,50,"BattleMusic",180,"Goblin_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/goblin_arena.csv","ScrollAmb01",,,"TRUE","sc/effects.sc","cloud_1",70,110,25,80,15,15,5
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_barbarian",,"true",,,100,50,100,100,50,"BattleMusic",180,"Barbarian_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/barbarian_arena.csv","ScrollAmb01",,,"TRUE","sc/effects.sc","cloud_1",70,110,25,80,15,15,5
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_bone",,"true",50,10,,55,100,100,50,"BattleMusic",180,"Bone_pit_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/bone_arena.csv","ScrollAmb01",,,"TRUE","sc/effects.sc","cloud_1",70,110,25,80,15,15,5
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_dark",,"true",50,10,,55,100,100,50,"BattleMusic",180,"Dark_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/dark_arena.csv","ScrollAmb01",,,"TRUE",,,,,,,,,
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_royal",,"true",,,100,50,100,100,50,"BattleMusic",180,"match start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/royal_arena.csv","ScrollAmb01",,,"TRUE","sc/effects.sc","cloud_1",70,110,25,80,15,15,5
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
"PvP_spell",,"true",,,100,50,100,100,50,"BattleMusic",180,"Spell_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/spell_arena.csv","ScrollAmb01",,,"TRUE","sc/effects.sc","cloud_1",70,110,25,80,15,15,5
,,,,,,,,,,"60sec_loop",60,"60sec_warn_01",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"30sec_loop",30,"30sec_warn_01",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_10",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_9",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_8",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_7",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_6",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_5",5,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_4",4,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_3",3,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_2",2,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Countdown_1",1,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
